 CollectionName ||      DataCount ||       add ||       get ||    remove ||  contains ||  populate ||   iterator.add ||   iterator.remove
      ArrayList ||          10000 ||  0,380000 ||  0,010000 ||  0,030000 ||  0,100000 ||  0,020000 ||       0,540000 ||          0,030000
      ArrayList ||         100000 ||  1,100000 ||  0,000000 ||  0,150000 ||  0,500000 ||  0,430000 ||       2,100000 ||          0,140000
      ArrayList ||        1000000 ||  8,520000 ||  0,020000 ||  0,900000 ||  2,880000 ||  3,660000 ||      14,760000 ||          1,050000
     LinkedList ||          10000 ||  0,210000 ||  0,000000 ||  0,000000 ||  0,100000 ||  0,240000 ||       0,290000 ||          0,000000
     LinkedList ||         100000 ||  6,560000 ||  0,010000 ||  0,000000 ||  0,550000 ||  0,970000 ||       1,680000 ||          0,030000
     LinkedList ||        1000000 || 22,580000 ||  0,000000 ||  0,010000 ||  6,050000 || 26,570000 ||      28,710000 ||          0,000000
        HashSet ||          10000 ||  1,940000 ||  0,000000 ||  0,020000 ||  0,000000 ||  0,320000 ||       0,000000 ||          0,000000
        HashSet ||         100000 || 12,740000 ||  0,000000 ||  0,000000 ||  0,010000 ||  4,060000 ||       0,000000 ||          0,000000
